,artist_name,track_name,track_id,popularity
465,Drake,Chicago Freestyle (feat. Giveon),4wVOKKEHUJxHCFFNUWDn0B,88
466,Taylor Swift,august,3hUxzQpSfdDqwM3ZTFQY0K,86
467,Polo G,Flex (feat. Juice WRLD),2QqJTIlGKRLJC3onkavYEz,86
468,Gunna,DOLLAZ ON MY HEAD (feat. Young Thug),3nS9a01VvXHQriLqJYwRqG,86
469,Chris Brown,Go Crazy,1IIKrJVP1C9N7iPtG6eOsK,89
470,The Kid LAROI,GO (feat. Juice WRLD),2t7D3y0jvYjR8IP9Bosyew,87
471,Drake,Toosie Slide,127QTOFJsJQp5LbJbu3A1y,92
472,Taylor Swift,mirrorball,0ZNU020wNYvgW84iljPkPP,85
473,Juice WRLD,Titanic,1QoG0Yqz1onMsdbOibZVke,85
474,Taylor Swift,seven,6KJqZcs9XDgVck7Lg9QOTC,85
475,DJ Khaled,POPSTAR (feat. Drake),6EDO9iiTtwNv6waLwa1UUq,90
476,Taylor Swift,invisible string,6VsvKPJ4xjVNKpI8VVZ3SV,85
477,Juice WRLD,Bad Energy,0JoWBcL61YWLXM5vW0YTHO,85
478,Juice WRLD,Stay High,1AnkdcHl86kEhDvhaKDuIe,85
479,Taylor Swift,this is me trying,7kt9e9LFSpN1zQtYEl19o1,85
480,Ariana Grande,Stuck with U (with Justin Bieber),4HBZA5flZLE435QTztThqH,93
481,Taylor Swift,illicit affairs,2NmsngXHeC1GQ9wWrzhOMf,85
482,Juice WRLD,Up Up And Away,5lcIegmdblnWqT9nS9EhZj,85
483,Taylor Swift,betty,5kI4eCXXzyuIUXjQra0Cxi,84
484,Lady Gaga,Rain On Me (with Ariana Grande),24ySl2hOPGCDcxBxFIqWBu,92
485,Polo G,21,3JKgcAa7r07ocVWcV8bS0H,85
486,Marshmello,Be Kind (with Halsey),3Z8FwOEN59mRMxDCtb8N0A,91
487,Taylor Swift,mad woman,2QDyYdZyhlP2fp79KZX8Bi,84
488,Juice WRLD,Man Of The Year,1uA914Md6wsy9NDryyBypH,84
489,Juice WRLD,Fighting Demons,0jo6Nd4iJU0UFHqS0Xd4l4,84
490,Juice WRLD,Tell Me U Luv Me (with Trippie Redd),7iIzwqG5UxPYwTYUUK4pzU,84
491,Taylor Swift,epiphany,08fa9LFcFBTcilB3iq2e2A,83
492,Jawsh 685,Savage Love (Laxed - Siren Beat),1xQ6trAsedVPCdbtDAmk0c,96
493,Taylor Swift,peace,7MbT4I8qGntX4fMdqMQgke,83
494,Future,Life Is Good (feat. Drake),5yY9lUy8nbvjM1Uyo1Uqoc,88
495,6ix9ine,GOOBA,4NhDYoQTYCdWHTvlbGVgwo,91
496,Juice WRLD,Screw Juice,2XSO13Gyndo7MDdtYibIxO,84
497,Juice WRLD,Can't Die,6DuHcOuuGWXNvF3uocsrBa,84
498,Taylor Swift,hoax,6MWoRt97mnSTXZhu3ggi9C,82
499,Juice WRLD,I Want It,6RsRMf9e4KUyo3MecGffNL,83
500,Taylor Swift,the 1,0Jlcvv8IykzHaSmj49uNW8,88
501,Taylor Swift,exile (feat. Bon Iver),4pvb0WLRcMtbPGmtejJJ6y,89
502,Pop Smoke,For The Night (feat. Lil Baby & DaBaby),0PvFJmanyNQMseIFrU708S,89
503,Powfu,death bed (coffee for your head),7eJMfftS33KTjuF7lTsMCx,95
