,uri,count,name,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
18748,spotify:track:1ibRqifchaAfeNdQGpbRVW,10,Bad Girls,4/25/1979,61,FALSE,0.857,0.7,2,-14.506,0,0.0358,0.00387,0.0164,0.411,0.973,120.529,295107
18756,spotify:track:0gEyKnHvgkrkBM6fbeHdwK,40,Linger,3/1/1993,75,FALSE,0.439,0.434,7,-14.918,1,0.0265,0.0783,4.87E-05,0.14,0.204,94.845,274707
18759,spotify:track:40NRm1ZLvZpUSCUXAGGZ8J,17,Kung Fu Fighting,2001,68,FALSE,0.598,0.673,2,-10.431,1,0.0693,0.0422,6.84E-05,0.289,0.59,102.035,197693
18772,spotify:track:3LQPTJEqOfljGBxmpgUnoC,11,American Woman,1/1/1970,68,FALSE,0.55,0.726,2,-8.51,1,0.0516,0.146,0.00608,0.428,0.37,92.697,307493
18781,spotify:track:6gQUbFwwdYXlKdmqRoWKJe,14,Dude (Looks Like A Lady),1/1/1987,71,FALSE,0.54,0.982,4,-2.962,0,0.0458,0.435,3.37E-05,0.0457,0.91,126.294,265773
18782,spotify:track:6lEuFGrUqR9Yc6hSsHPnYP,16,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",8/18/1998,74,FALSE,0.39,0.649,2,-5.163,1,0.0345,0.172,0,0.216,0.144,121.16,299760
18807,spotify:track:78MI7mu1LV1k4IA2HzKmHe,15,Dream A Little Dream Of Me - Single Version,1/1/1957,71,FALSE,0.443,0.104,0,-17.042,1,0.101,0.913,0,0.191,0.394,76.497,185160
18808,spotify:track:33jt3kYWjQzqn3xyYQ5ZEh,10,Cheek To Cheek,5/20/1997,66,FALSE,0.663,0.264,0,-14.571,1,0.0914,0.706,0,0.1,0.657,122.482,354533
18814,spotify:track:5b7OgznPJJr1vHNYGyvxau,20,Fly Me To The Moon (In Other Words),12/10/1962,73,FALSE,0.668,0.26,7,-14.256,1,0.0523,0.453,0,0.0621,0.368,119.416,147000
18815,spotify:track:3aEJMh1cXKEjgh52claxQp,10,I've Got You Under My Skin - Remastered 1998,1956-03,67,FALSE,0.585,0.247,1,-12.612,1,0.04,0.452,8.85E-06,0.107,0.591,127.15,223760
18822,spotify:track:3zpj9dvJABiyMrmLCPw6i8,13,Crazy - Single Version,11/27/1961,65,FALSE,0.471,0.021,10,-24.385,1,0.0366,0.931,1.19E-06,0.103,0.356,107.765,164573
18823,spotify:track:3NNkJwiHucP5QyUEAIMXra,10,Love the One You're With,1970,55,FALSE,0.567,0.65,0,-6.924,1,0.0325,0.0281,4.03E-06,0.107,0.146,97.279,185587
18826,spotify:track:5EOoMWIB9iK4ZpcSex9Ec7,22,Old Time Rock & Roll,5/5/1978,73,FALSE,0.714,0.937,6,-2.947,1,0.0399,0.206,0,0.0731,0.964,124.13,194147
18827,spotify:track:1SWmFiFSIBoDbQJjNKC7SR,12,Against The Wind,2/25/1980,64,FALSE,0.674,0.771,7,-5.612,1,0.0246,0.28,0.0318,0.133,0.718,109.618,333720
18828,spotify:track:5VbePtZp1at8gH990zVyTI,10,Hollywood Nights,5/5/1978,62,FALSE,0.529,0.968,9,-5.198,1,0.0503,0.00506,0.00034,0.201,0.751,150.326,302627
18830,spotify:track:5oO3drDxtziYU2H1X23ZIp,53,Love On The Brain,1/28/2016,80,TRUE,0.509,0.637,4,-4.83,0,0.0471,0.0717,1.08E-05,0.0789,0.378,172.006,224000
18838,spotify:track:34D6mvDTAPypm92EPs8Rxa,10,Reminiscing - Remastered,1978,64,FALSE,0.54,0.465,7,-11.259,1,0.0302,0.652,0.00544,0.132,0.341,94.731,253080
18848,spotify:track:54X78diSLoUDI3joC2bjMz,46,Purple Rain,6/25/1984,75,FALSE,0.367,0.452,10,-10.422,1,0.0307,0.0353,0.00228,0.689,0.189,113.066,520787
18849,spotify:track:4yrM5BVyJzy5Ed4GPO6e8j,12,I Wanna Be Your Lover,10/19/1979,62,FALSE,0.812,0.507,1,-8.825,0,0.0452,0.0399,0.0831,0.0671,0.729,114.832,347667
18875,spotify:track:4KfSdst7rW39C0sfhArdrz,29,Barracuda,5/14/1977,74,FALSE,0.547,0.691,4,-13.553,0,0.0369,0.015,0.105,0.144,0.667,137.148,261933
18881,spotify:track:43DeSV93pJPT4lCZaWZ6b1,33,The Boys Are Back In Town,1976,75,FALSE,0.445,0.706,8,-9.803,1,0.0461,0.234,0.000252,0.205,0.768,80.823,266720
18883,spotify:track:4c6vZqYHFur11FbWATIJ9P,17,There She Goes,1990,67,FALSE,0.533,0.761,7,-10.632,1,0.0298,0.013,0.829,0.207,0.917,122.777,162187
18890,spotify:track:265Anh9hGoozFigjUVLUeD,12,New Shoes,1/30/2007,66,FALSE,0.748,0.735,8,-8.692,1,0.0903,0.47,1.09E-05,0.0851,0.854,150.04,203653
18891,spotify:track:3CAX47TnPqTujLIQTw8nwI,15,Old Pine,1/1/2011,69,FALSE,0.401,0.364,5,-10.836,1,0.033,0.45,0.0503,0.162,0.224,129.57,328507
18904,spotify:track:0egYMfS7hjEneR86a9K61w,14,Everyday Is Like Sunday - 2011 Remaster,1988,61,FALSE,0.6,0.869,0,-5.126,1,0.0302,0.00345,0.441,0.311,0.56,117.064,215267
18917,spotify:track:2jiPHbFX5XM8TjaTfYJ0eo,31,Stolen Dance,5/31/2013,77,FALSE,0.885,0.581,11,-8.813,1,0.0378,0.427,0.000204,0.0759,0.728,114.016,313684
18922,spotify:track:10ViidwjGLCfVtGPfdcszR,29,Home,7/13/2009,71,FALSE,0.545,0.59,2,-6.693,1,0.0327,0.32,0.000389,0.124,0.127,111.739,306320
18925,spotify:track:4iiX7axMHcc76BGM0QJEY5,20,Until The End Of The World,11/18/1991,55,FALSE,0.502,0.68,2,-10.438,1,0.029,5.79E-05,0.33,0.507,0.573,102.252,278480
18926,spotify:track:6OojY4NdPiEGWHV2EUSwHz,10,Always See Your Face,9/1/1969,59,FALSE,0.567,0.579,0,-12.565,1,0.029,0.38,2.80E-05,0.0562,0.92,109.84,209133
18927,spotify:track:45aBsnKRWUzhwbcqOJLwfe,25,This Is Me,12/8/2017,76,FALSE,0.284,0.704,2,-7.276,1,0.186,0.00583,0.000115,0.0424,0.1,191.702,234707
18930,spotify:track:5Xak5fmy089t0FYmh3VJiY,37,Black,8/27/1991,74,FALSE,0.36,0.684,4,-6.457,0,0.0308,0.323,0,0.34,0.2,77.15,342653
18940,spotify:track:4ZVZBc5xvMyV3WzWktn8i7,11,Everyday People,5/3/1969,65,FALSE,0.807,0.497,7,-10.656,1,0.0297,0.306,0.0323,0.043,0.765,114.523,141507
18942,spotify:track:745H5CctFr12Mo7cqa1BMH,26,My Girl,3/22/1965,79,FALSE,0.572,0.418,0,-10.738,1,0.0349,0.635,0,0.0961,0.694,104.566,165000
18943,spotify:track:7MiLmLbwNoyf47xQ4TCVYp,11,Papa Was A Rollin' Stone - Single Version,1/11/2000,68,FALSE,0.817,0.405,10,-13.513,0,0.0811,0.451,0.0507,0.0468,0.898,121.467,419640
18986,spotify:track:58PSYdY0GFg0LFb2PxYk4T,12,Mannish Boy,1977,63,FALSE,0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129,321133
18993,spotify:track:3898C4AbdbptwYet6547e5,13,The Girl From Ipanema,1/1/1989,68,FALSE,0.664,0.194,5,-15.487,0,0.0357,0.909,3.85E-05,0.0829,0.443,129.863,321827
18999,spotify:track:6b37xrsNCWYIUphFBazqD6,14,Me Gustas Tu,6/1/2001,72,FALSE,0.657,0.741,11,-6.822,0,0.0825,0.663,0.494,0.222,0.908,175.949,239987
19004,spotify:track:3WkibOpDF7cQ5xntM1epyf,25,It Wasn't Me,8/8/2000,76,FALSE,0.853,0.606,0,-4.596,1,0.0713,0.0561,0,0.313,0.654,94.759,227600
19020,spotify:track:1v2zyAJrChw5JnfafSkwkJ,24,Shiny Happy People,3/12/1991,71,FALSE,0.452,0.909,9,-3.977,1,0.0366,0.0313,0.0603,0.23,0.805,124.623,225787
19042,spotify:track:41yIvlFgvGwxq8qTqAR7eG,26,Bloom - Bonus Track,3/5/2013,71,FALSE,0.592,0.416,1,-9.794,1,0.0246,0.882,0.000586,0.112,0.417,96.002,210080
19046,spotify:track:4Y7fEQ4PAzhlLnLviRw2P4,16,Rockin' in the Free World,9/29/1989,67,FALSE,0.491,0.883,4,-4.986,0,0.0306,0.000736,3.19E-05,0.369,0.518,131.75,281853
19051,spotify:track:7bhI6rnvaVw8qgZPn32qE0,10,Looking Too Closely,7/14/2014,62,FALSE,0.477,0.519,2,-12.461,1,0.0358,0.328,0.748,0.0949,0.102,175.094,310693
19054,spotify:track:0VNzEY1G4GLqcNx5qaaTl6,19,Vincent,1971,69,FALSE,0.419,0.085,7,-19.387,1,0.0362,0.908,5.33E-06,0.34,0.458,91.509,243493
19055,spotify:track:1UKobFsdqNXQb8OthimCKe,18,Helplessly Hoping - 2005 Remaster,5/29/1969,66,FALSE,0.567,0.159,7,-13.648,1,0.0331,0.914,0,0.111,0.436,146.913,157893
19079,spotify:track:7Gx2q0ueNwvDp2BOZYGCMO,11,Money - 2011 Remastered Version,3/1/1973,66,FALSE,0.469,0.537,9,-10.421,1,0.152,0.0241,0.00201,0.269,0.783,124.193,382834
19080,spotify:track:4xHWH1jwV5j4mBYRhxPbwZ,13,Time - 2011 Remastered Version,3/1/1973,63,FALSE,0.358,0.48,9,-11.79,1,0.0849,0.521,0.00428,0.178,0.356,120.317,413947
19087,spotify:track:3MFa9idQuY4iJLWsZl3tIQ,14,Young Hearts Run Free,1976,65,FALSE,0.653,0.652,7,-9.304,0,0.0427,0.13,1.58E-05,0.202,0.846,115.388,248360
19101,spotify:track:6uqTETWok9npbL4c9cuLVh,10,Clean up Woman,1972,58,FALSE,0.865,0.652,5,-9.046,1,0.143,0.566,0.000919,0.0833,0.829,90.081,169533
19103,spotify:track:2Bls0igCm79XQQ95IoUbhq,10,Mr. Big Stuff,1971,65,FALSE,0.886,0.491,8,-12.589,1,0.171,0.29,2.46E-06,0.229,0.971,93.236,164560
19108,spotify:track:00kvKlIvfzQLSi6T2zwXuS,10,Strawberry Letter 23,1/1/1977,62,FALSE,0.73,0.622,7,-11.7,0,0.0532,0.269,0.00874,0.111,0.752,90.973,299067
19119,spotify:track:5u6Woby9oKAF8LhhuxykH1,15,"Girl, You'll Be a Woman Soon",6/10/1992,64,FALSE,0.514,0.584,5,-13.049,1,0.042,0.0698,0.000183,0.205,0.558,114.142,189627
19131,spotify:track:7DqktFsRwJa0XDFPMjV1xJ,10,Out on the Weekend - 2009 Remaster,2/14/1972,60,FALSE,0.673,0.265,9,-15.711,1,0.0387,0.0967,0.0336,0.0809,0.641,136.748,271933
19145,spotify:track:1oht5GevPN9t1T3kG1m1GO,19,Fire and Rain - 2019 Remaster,2/1/1970,73,FALSE,0.597,0.271,5,-17.293,1,0.0394,0.766,0.0119,0.0933,0.338,76.271,203613
19146,spotify:track:2T5Ch09nefwckOu5NQvjIk,18,Carolina in My Mind,1976,68,FALSE,0.579,0.267,4,-15.11,1,0.0348,0.118,0.000562,0.132,0.353,74.899,238573
19153,spotify:track:16qzGrIMWoxerw2gnW0zuv,25,Pink Moon,2/25/1972,68,FALSE,0.638,0.256,3,-15.68,1,0.0492,0.819,0.0707,0.145,0.438,82.479,123333
19154,spotify:track:2YkQuh1bijWzQJie9KfFQi,10,Place To Be,2/25/1972,58,FALSE,0.342,0.224,5,-16.362,1,0.0357,0.872,0.163,0.109,0.404,53.477,161293
19173,spotify:track:71GvlH0VdeClloLIkHrAVu,13,Diamonds on the Soles of Her Shoes,8/12/1986,64,FALSE,0.791,0.677,5,-9.724,1,0.0356,0.776,0.00121,0.224,0.876,110.64,349280
19174,spotify:track:51KKQAgYFoJHgVIuJWHdHb,14,Graceland,8/12/1986,66,FALSE,0.732,0.705,9,-9.271,1,0.0349,0.626,0.00068,0.0813,0.848,117.925,291200
19195,spotify:track:2iRniYXjMHKmwXqA2jYXP7,49,Think About Things,4/9/2020,77,FALSE,0.871,0.341,3,-8.932,0,0.0576,0.0311,0.000124,0.0838,0.612,127.001,173386
19202,spotify:track:6L5BZEcZmD6RBJnimzlyKr,14,Nights In White Satin - Single Version / Mono Mix,11/10/1967,68,FALSE,0.195,0.483,4,-4.991,0,0.03,0.465,0.497,0.0686,0.173,84.71,269107
19209,spotify:track:2drEUEg0TYQR6dDEHkpuPE,36,Patience,3/22/2019,66,FALSE,0.546,0.859,1,-5.966,1,0.0306,0.00223,0.000947,0.0529,0.645,99.965,292267
19234,spotify:track:2X485T9Z5Ly0xyaghN73ed,47,Let It Happen,7/17/2015,74,FALSE,0.602,0.881,1,-5.875,0,0.0443,0.00462,0.0266,0.111,0.577,125.012,467587
19238,spotify:track:3G7tRC24Uh09Hmp1KZ7LQ2,22,I'm a Believer - 2006 Remaster,1/9/1967,73,FALSE,0.526,0.775,0,-6.05,1,0.0352,0.707,2.05E-05,0.217,0.962,80.106,167373
19253,spotify:track:0PDCewmZCp0P5s00bptcdd,17,This Will Be (An Everlasting Love),1/1/1975,71,FALSE,0.685,0.623,8,-11.146,1,0.042,0.228,0.00234,0.0295,0.896,126.739,171960
19255,spotify:track:3AXDLGI5TIYi72JcYFvNpv,14,I Think We're Alone Now,1/5/1967,55,FALSE,0.783,0.42,11,-11.05,0,0.103,0.0722,0.0316,0.0692,0.716,131.75,130320
19264,spotify:track:3yobQNuKVJ62WDU7h725Fu,14,Fade To Grey,1/1/1980,60,FALSE,0.604,0.416,2,-17.154,0,0.0372,0.000315,0.0165,0.0897,0.512,112.338,239360
19267,spotify:track:5qaEfEh1AtSdrdrByCP7qR,25,Demons,9/4/2012,79,FALSE,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.269,0.428,89.938,177507
19275,spotify:track:38paDDziQ57k1f4VfKTeGk,12,California Stars,1998,61,FALSE,0.622,0.736,9,-9.229,1,0.0292,0.422,1.18E-05,0.0829,0.723,110.24,298533
19284,spotify:track:1IqFh00G2kvvMm8pRMpehA,21,Me and Bobby McGee,1/11/1971,72,FALSE,0.453,0.464,2,-10.96,1,0.0431,0.302,5.96E-05,0.152,0.658,93.19,271333
19285,spotify:track:7jWbXvrgdbkajU8L28ahn5,11,Highwayman,5/1/1985,69,FALSE,0.67,0.351,2,-16.842,1,0.0463,0.48,0.0176,0.115,0.45,101.384,182653
19286,spotify:track:6H7nDglS6xWpRidbhMwI2L,12,Here You Come Again,10/3/1977,66,FALSE,0.529,0.511,1,-9.37,1,0.0418,0.647,0.00724,0.0391,0.559,106.491,179491
19288,spotify:track:5fdhThPDe6jQQDqCyWrdAn,15,Jolene,1974,67,FALSE,0.674,0.537,1,-10.971,0,0.0363,0.566,0,0.131,0.809,110.578,161533
19301,spotify:track:4z7maGZkAonDlXlwo8q69f,16,Da Ya Think I'm Sexy?,11/24/1978,69,FALSE,0.715,0.689,2,-8.065,0,0.029,0.0143,0.000192,0.111,0.852,111.504,331333
19328,spotify:track:05fHQeRbCSjKVS6z0WbQKJ,11,Every Time You Go Away - Radio Edit,9/7/1991,71,FALSE,0.572,0.721,5,-8.959,1,0.0402,0.187,7.41E-06,0.216,0.844,164.252,267000
19345,spotify:track:2tpWsVSb9UEmDRxAl1zhX1,30,Counting Stars,1/1/2013,80,FALSE,0.664,0.705,1,-4.972,0,0.0382,0.0654,0,0.118,0.477,122.016,257267
19347,spotify:track:6JV2JOEocMgcZxYSZelKcc,47,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",5/6/2016,78,FALSE,0.667,0.83,0,-5.715,1,0.0749,0.0123,0,0.191,0.701,113.03,236002
19352,spotify:track:2cP37n7TZEe0oBxCbZu0KA,25,New Slang,6/19/2001,70,FALSE,0.669,0.389,0,-11.547,1,0.0306,0.605,0.16,0.0905,0.649,130.015,231173
19361,spotify:track:2V4Bc2I962j7acQj1N0PiQ,11,Celebrity Skin,1/1/1998,65,FALSE,0.438,0.905,9,-6.161,1,0.0419,9.44E-06,5.40E-05,0.363,0.723,134.163,162667
19377,spotify:track:0lnxrQAd9ZxbhBBe7d8FO8,20,MMMBop,1/1/1997,68,FALSE,0.683,0.937,9,-6.335,1,0.0449,0.00481,0.0046,0.07,0.619,104.872,268653
19382,spotify:track:5cwN1htZyoWqZCc33f3RfE,17,The High Road,3/1/2010,65,FALSE,0.61,0.637,0,-6.574,1,0.0238,0.0682,6.12E-06,0.284,0.609,79.955,232200
19383,spotify:track:757PJjXAgywxrYkdhMkEV9,12,Holding on for Life,1/13/2014,53,FALSE,0.342,0.587,11,-7.273,0,0.0537,0.00648,0.0995,0.207,0.484,168.847,236867
19387,spotify:track:4RXpgGM7A4Hg7cFBoH5KyF,33,Hey Brother,9/13/2013,76,FALSE,0.545,0.78,7,-4.867,0,0.0436,0.0309,4.64E-05,0.0828,0.458,125.014,255093
19396,spotify:track:1N62wozuHCvczCkY4QidpP,15,Over My Head (Cable Car),9/13/2005,69,FALSE,0.592,0.729,8,-4.156,1,0.0448,0.022,0,0.0653,0.709,116.03,236267
19397,spotify:track:57uX2vR9j9DNiANDYfXw1i,13,Never Say Never,2/2/2009,68,FALSE,0.23,0.492,8,-5.767,1,0.0317,0.568,8.18E-06,0.176,0.262,160.139,256613
19404,spotify:track:43btz2xjMKpcmjkuRsvxyg,25,Jack & Diane,1982,75,FALSE,0.811,0.41,9,-8.214,1,0.0391,0.0365,6.63E-06,0.0799,0.626,103.965,254493
19405,spotify:track:2HsjJJL4DhPCzMlnaGv7ap,12,Small Town,1985,67,FALSE,0.659,0.919,11,-2.658,1,0.0333,0.155,0.0054,0.312,0.631,123.135,221627
19406,spotify:track:5TbzAWWc5eJaANpA9kfGCd,18,Love Me Again,1/1/2013,71,FALSE,0.495,0.894,2,-4.814,0,0.0441,0.00453,0.000596,0.103,0.213,126.03,239894
19411,spotify:track:03AhYPRQeOqG2j54Tdg94E,10,Weird Science,1/1/1985,51,FALSE,0.657,0.826,4,-12.339,1,0.0358,0.0254,0.00974,0.708,0.685,128.144,368760
19414,spotify:track:20ZP3Om9DvDazXrNUC7WM2,13,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",1/25/2019,69,FALSE,0.654,0.798,0,-4.084,1,0.0451,0.188,0,0.15,0.574,92.207,211760
19416,spotify:track:7FpBQ067pHB67deawpbbcY,15,Body Like A Back Road,4/3/2020,69,FALSE,0.736,0.458,5,-7.437,1,0.0316,0.441,0,0.148,0.65,98.977,162547
19439,spotify:track:6dfhF1BDGmhM69fnCb6wSC,18,America,4/3/1968,66,FALSE,0.259,0.241,2,-15.955,1,0.042,0.554,6.62E-06,0.0849,0.275,178.453,215293
19496,spotify:track:1Zi2ezNOqt9y9irC11xYpN,15,Eve Of Destruction,1/1/1965,57,FALSE,0.613,0.307,2,-17.385,1,0.0414,0.387,4.52E-06,0.087,0.789,117.305,215827
19536,spotify:track:3dkIE8P7hvl3tHl9KSb6dA,17,"Non, je ne regrette rien",10/31/1987,64,FALSE,0.382,0.354,7,-6.595,1,0.0289,0.858,3.11E-06,0.168,0.435,87.018,142280
19544,spotify:track:20VuO95A8RxUPlShnfYArW,10,I Got The... - 2006 Remaster,1975,59,FALSE,0.476,0.604,0,-10.85,0,0.117,0.11,4.15E-05,0.134,0.583,87.304,395373
19551,spotify:track:2V8KvnD5LVeeDChMWEkSzC,12,Nothin' But A Good Time - Remastered 2006,3/21/1988,66,FALSE,0.576,0.974,1,-2.785,1,0.0828,0.0202,0,0.348,0.531,129.088,224867
19552,spotify:track:7vidktgNZFQylTgH1GEnMs,21,Cold as Ice,3/8/1977,69,FALSE,0.516,0.486,3,-11.81,0,0.0272,0.0987,1.48E-06,0.143,0.471,132.542,200573
19553,spotify:track:08onVqQ8YicJ98Ycm1qoLf,10,Urgent,1981,60,FALSE,0.855,0.803,4,-5.849,0,0.0316,0.342,0.00732,0.0841,0.962,114.867,271200
19554,spotify:track:2RChe0r2cMoyOvuKobZy44,19,Always,10/18/1994,75,FALSE,0.383,0.659,4,-5.558,1,0.0312,0.117,0,0.0778,0.327,140.795,353027
19555,spotify:track:0PdM2a6oIjqepoEfcJo0RO,14,Pour Some Sugar On Me - Remastered 2017,8/3/1987,74,FALSE,0.267,0.953,1,-4.899,0,0.096,0.00211,0,0.283,0.568,84.989,267307
19556,spotify:track:6Nd6ntkzr4t8o1FKPGOSMt,11,Here I Go Again - 2018 Remaster,1987,71,FALSE,0.292,0.823,7,-6.763,1,0.0407,0.0117,7.79E-05,0.155,0.244,89.939,275395
19557,spotify:track:5WwqdeavrQrbeAMDxGawse,30,Can't Fight This Feeling,11/5/1984,74,FALSE,0.408,0.48,9,-11.017,1,0.0266,0.155,1.82E-05,0.0877,0.19,156.344,294773
19558,spotify:track:43GS3mtezoIFiuIZCLLiDY,20,Every Rose Has Its Thorn - Remastered 2003,3/21/1988,72,FALSE,0.533,0.637,6,-5.571,1,0.0323,0.16,1.12E-05,0.369,0.292,140.167,260173
19559,spotify:track:3ovjw5HZZv43SxTwApooCM,32,Wind Of Change,1/1/1990,78,FALSE,0.452,0.524,0,-10.108,1,0.0351,0.315,0,0.103,0.246,151.505,312360
19560,spotify:track:3X7uFMzJrEE0sxn62qd8Ch,23,Nothing's Gonna Stop Us Now,7/27/1987,75,FALSE,0.643,0.801,6,-4.921,1,0.0228,0.0298,0,0.0719,0.534,95.988,270333
19565,spotify:track:0KOE1hat4SIer491XKk4Pa,31,A Change Is Gonna Come,3/1/1964,67,FALSE,0.212,0.383,10,-10.071,1,0.0347,0.723,0,0.299,0.452,173.79,191160
19579,spotify:track:1iDcKYNvo6gglrOG6lvnHL,11,Sympathy For The Devil,12/6/1968,2,FALSE,0.668,0.672,9,-10.79,1,0.3,0.581,1.09E-06,0.0403,0.613,115.767,377747
19580,spotify:track:61UuPxxYUvacEH6SHIK3sU,12,Brown Sugar - 2009 Mix,4/23/1971,71,FALSE,0.633,0.934,0,-3.594,1,0.0344,0.219,0.00021,0.0592,0.963,128.606,228667
19581,spotify:track:3hJLKtTpgct9Y9wKww0BiR,36,Miss You - Remastered,6/9/1978,68,FALSE,0.795,0.71,9,-4.746,0,0.0392,0.443,0.0215,0.344,0.845,109.689,288667
19582,spotify:track:2PzU4IB8Dr6mxV3lHuaG34,55,(I Can't Get No) Satisfaction - Mono Version,7/30/1965,77,FALSE,0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,222813
19583,spotify:track:2jaN6NgXflZTj2z9CWcqaP,11,Time Is On My Side - Mono Version,1/15/1965,54,FALSE,0.508,0.645,5,-9.012,1,0.0395,0.291,3.25E-06,0.107,0.412,99.302,179133
19586,spotify:track:69uJi5QsBtqlYkGURTBli8,10,I Can't Make You Love Me,1/1/1991,66,FALSE,0.588,0.149,7,-16.728,0,0.0319,0.846,9.65E-05,0.236,0.113,124.689,332960
19588,spotify:track:6JssQFiBCi6ZcE6060S9A7,11,Angel from Montgomery - 2008 Remaster,1974,61,FALSE,0.68,0.393,9,-8.431,1,0.0306,0.538,4.19E-06,0.12,0.551,125.036,239240
19594,spotify:track:2AxCeJ6PSsBYiTckM0HLY7,20,Voodoo Child (Slight Return),10/25/1968,67,FALSE,0.214,0.91,8,-6.662,1,0.389,0.48,0.00839,0.0517,0.447,175.561,313373
19608,spotify:track:2LsbizbOeNa4x6qsi2jAMb,15,La flaca,9/30/1996,73,FALSE,0.871,0.481,7,-9.068,1,0.0383,0.52,5.54E-05,0.0809,0.664,103.063,261200
19614,spotify:track:0QQIhT6PtJ5glyn4HKNKQ6,17,All the Pretty Girls,6/10/2016,68,FALSE,0.466,0.496,1,-6.606,1,0.0302,0.626,6.22E-06,0.117,0.352,74.747,269893
19622,spotify:track:4hjuUelurEBKlqpJPJ77Iw,10,Pocketful of Sunshine,2008,63,FALSE,0.726,0.881,9,-3.892,0,0.0391,0.203,0,0.108,0.682,110.019,203440
19623,spotify:track:7rbCL7W893Zonbfnevku5s,17,I Need My Girl,5/27/2013,66,TRUE,0.523,0.438,0,-11.49,0,0.0356,0.867,0.0723,0.123,0.106,126.028,245240
19641,spotify:track:4LJhJ6DQS7NwE7UKtvcM52,28,What's My Age Again?,6/1/1999,75,FALSE,0.391,0.951,6,-7.419,1,0.0692,0.0126,0.000378,0.0878,0.468,157.66,148360
19653,spotify:track:3GpdNg7Krt9vjc6tgDoKe1,13,Breakfast At Tiffany's,1/1/1995,68,FALSE,0.624,0.826,2,-5.534,1,0.0287,0.113,0,0.0938,0.526,110.368,257187
19656,spotify:track:1zB4vmk8tFRmM9UULNzbLB,57,Thunder,6/23/2017,84,FALSE,0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,187147
19657,spotify:track:6Tvzf3VEi16JMhAgOwdt2y,15,Birds,11/9/2018,72,FALSE,0.649,0.517,1,-7.428,0,0.0297,0.0146,1.63E-06,0.145,0.35,119.997,219440
19659,spotify:track:18lR4BzEs7e3qzc0KVkTpU,17,What I've Done,5/14/2007,76,FALSE,0.623,0.93,5,-5.285,1,0.0324,0.0141,1.64E-06,0.138,0.287,120.119,205613
19663,spotify:track:3zkWCteF82vJwv0hRLba76,15,Stitches,4/14/2015,76,FALSE,0.746,0.754,1,-6.684,1,0.0676,0.0152,0,0.0486,0.746,149.882,206880
19665,spotify:track:7mnGQesk1TzQLzQ9bYWZPR,24,She's so High,2/23/1999,72,FALSE,0.537,0.84,9,-4.626,1,0.0363,0.2,2.15E-06,0.0998,0.211,124.269,224693
19673,spotify:track:5ZsPy9wHH733NlU6c4v2Hi,12,When It's Over - David Kahne Main,6/12/2001,56,FALSE,0.675,0.775,4,-5.772,1,0.0522,0.0387,0,0.383,0.933,99.945,217853
19676,spotify:track:7cpCU3Denug5NGZsSpQl8v,24,XO,5/27/2014,73,FALSE,0.431,0.377,2,-9.753,1,0.0288,0.749,0,0.211,0.353,173.67,213627
19682,spotify:track:786h4kDeZiX5nYvOwA3wtE,14,These Are Days,1992,56,FALSE,0.611,0.833,3,-7.554,1,0.0351,0.0218,0.000204,0.0923,0.793,108.498,219893
19684,spotify:track:5JEx7HbmvHQQswJCsoo9rA,50,Close To Me (with Diplo) (feat. Swae Lee),10/24/2018,78,TRUE,0.575,0.758,1,-5.029,0,0.0618,0.0954,0,0.394,0.493,144.107,182623
19689,spotify:track:244AvzGQ4Ksa5637JQu5Gy,20,You've Got The Love,2009,70,FALSE,0.574,0.694,6,-4.697,1,0.0327,0.00481,0,0.102,0.401,109.85,168667
19712,spotify:track:4BP3uh0hFLFRb5cjsgLqDh,45,Fortunate Son,11/2/1969,81,FALSE,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,140773
19723,spotify:track:5VGlqQANWDKJFl0MBG3sg2,44,Use Somebody,9/23/2008,76,FALSE,0.276,0.715,0,-5.356,1,0.0432,0.00552,0.000417,0.201,0.173,137.028,230760
19725,spotify:track:5fgkjhICZnqFctrV0AyuQD,20,Walking in Memphis,2/8/1991,70,FALSE,0.567,0.512,0,-8.831,1,0.0357,0.547,0,0.296,0.334,130.269,252613
19751,spotify:track:0CcL4kSHKIEwF3IW0BGgb6,11,I Can't Stand the Rain,2009,61,FALSE,0.727,0.387,1,-12.333,1,0.0412,0.248,0.0102,0.0625,0.966,160.395,150400
19754,spotify:track:2SiXAy7TuUkycRVbbWDEpo,51,You Shook Me All Night Long,7/25/1980,79,FALSE,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,210173
