,uri,count,name,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
310,spotify:track:3gD4J3RUHy4OUuZ3qAiaiG,87,Caramelo,6/11/2020,91,FALSE,0.728,0.806,6,-3.766,1,0.0623,0.0531,0.000301,0.153,0.698,168.084,217547
312,spotify:track:1GNSWpe2SB30zYGbNTD96b,13,No Bailes Sola,7/17/2020,78,FALSE,0.598,0.734,10,-3.982,1,0.116,0.208,0,0.272,0.621,179.885,180867
314,spotify:track:099tjv6oy2opbpCOA3nBwX,52,Dream Girl - Remix,12/6/2019,83,TRUE,0.767,0.643,5,-5.225,1,0.101,0.216,0.000104,0.0806,0.536,169.99,192452
316,spotify:track:4HYDUMY0xSpeBr0AMY9cUz,51,La Curiosidad,6/12/2020,90,FALSE,0.845,0.677,11,-4.798,0,0.136,0.269,0.000917,0.108,0.68,90.013,219048
318,spotify:track:4pXW6ZAHBz7ODXTRKklWrM,10,Mamichula - con Nicki Nicole,7/23/2020,83,FALSE,0.696,0.678,4,-5.893,0,0.0735,0.582,2.22E-06,0.134,0.346,91.985,219202
322,spotify:track:6c1QaQHdDhtFMfUkhueuXK,27,Monster,7/6/2020,82,FALSE,0.631,0.748,4,-2.569,0,0.0488,0.212,0,0.537,0.351,115.665,178413
327,spotify:track:47CK1SBOe7VR65GEmZmPjk,23,Laxed - Siren Beat,4/24/2020,57,FALSE,0.739,0.529,0,-8.741,0,0.0891,0.0113,0.693,0.334,0.91,150.004,202190
329,spotify:track:6AzKhCHOms83jvNVLsz0Bt,64,Djadja (feat. Maluma) - Remix,6/12/2020,89,FALSE,0.791,0.682,5,-7.328,1,0.158,0.175,0,0.0926,0.672,98.031,166851
333,spotify:track:2LUdpPCiiza6UQugipjMeS,111,Stunnin',5/19/2020,71,TRUE,0.906,0.604,11,-8.332,0,0.0746,0.329,0,0.255,0.899,99.996,144013
335,spotify:track:4zGtfOglDBfVUypabBwIjQ,25,Desce Pro Play (PA PA PA),6/26/2020,85,FALSE,0.935,0.71,11,-5.085,0,0.158,0.0769,1.92E-06,0.173,0.635,100.009,168507
336,spotify:track:4ja2gzrNh9VNigzoXfmbwD,164,Mariposa,8/28/2019,86,TRUE,0.676,0.525,9,-5.88,1,0.028,0.617,0,0.356,0.421,112.011,210000
337,spotify:track:3JNYsAbOnTg1VhJEHYnrWm,10,Toco Toco To,9/22/2018,65,FALSE,0.876,0.898,8,-3.093,0,0.06,0.0825,0.041,0.131,0.962,116.035,182126
338,spotify:track:0dZpw3h6KZhcHec61qwevZ,77,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,5/15/2020,88,FALSE,0.824,0.854,8,-5.312,1,0.177,0.016,4.95E-05,0.117,0.896,95.114,210329
343,spotify:track:4cluDES4hQEUhmXj6TXkSo,70,What Makes You Beautiful,5/25/2012,82,FALSE,0.726,0.787,4,-2.494,1,0.0737,0.009,0,0.0596,0.888,124.99,199987
344,spotify:track:0egBBvt6cfROuCHP5nBABx,64,Be Happy,6/26/2020,82,TRUE,0.723,0.658,0,-4.94,1,0.12,0.209,0,0.262,0.599,86.985,198966
347,spotify:track:2RxC2peY3FtrurYmbbmanr,32,Qué Maldición,5/1/2020,78,FALSE,0.755,0.531,9,-8.051,0,0.196,0.213,0,0.13,0.683,177.951,203360
352,spotify:track:57RA3JGafJm5zRtKJiKPIm,257,Are You Bored Yet? (feat. Clairo),3/22/2019,86,FALSE,0.682,0.683,8,-6.444,0,0.0287,0.156,2.32E-05,0.273,0.64,120.023,178000
353,spotify:track:50ZC4PM7hywH27RcCfViau,96,Elegí (feat. Dímelo Flow),3/26/2020,89,FALSE,0.824,0.631,0,-2.791,1,0.0809,0.237,0.000116,0.0531,0.678,171.965,197721
354,spotify:track:5DoLhdU27owX1NMrKLUbUl,37,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)",3/31/2017,76,TRUE,0.863,0.669,6,-5.952,0,0.282,0.111,0,0.0569,0.947,164.062,260545
355,spotify:track:2ZSHH750nQpUVHjoe3iu2U,22,Fuego Del Calor (feat. Ozuna & Tyga),5/29/2020,78,FALSE,0.789,0.832,1,-3.68,1,0.0615,0.0218,3.56E-06,0.0849,0.597,100.02,148260
356,spotify:track:0SqqAgdovOE24BzxIClpjw,266,Yo Perreo Sola,2/28/2020,89,FALSE,0.86,0.758,11,-5.16,1,0.0695,0.021,6.54E-05,0.344,0.453,97.014,172127
357,spotify:track:4QfZYDhGZc0T2RDvGiI69E,26,Singapur,5/15/2020,82,FALSE,0.853,0.909,7,-2.473,1,0.229,0.0522,0.0223,0.129,0.803,112.987,178407
358,spotify:track:4w47S36wQGBhGg073q3nt7,233,TKN (feat. Travis Scott),5/28/2020,92,FALSE,0.776,0.509,0,-6.266,0,0.467,0.192,1.49E-06,0.115,0.485,94.634,129371
359,spotify:track:3vAn0qZzdyuHamcrpkfiX3,90,How You Like That,6/26/2020,89,FALSE,0.828,0.782,11,-4.014,1,0.0918,0.0694,3.41E-05,0.0544,0.351,130.013,181264
360,spotify:track:39EXZNMxb4RBHlRjnRaOKp,23,Sweet Night,3/13/2020,78,FALSE,0.462,0.339,3,-7.943,1,0.025,0.495,8.15E-06,0.0893,0.149,92.106,214259
361,spotify:track:4nK5YrxbMGZstTLbvj6Gxw,566,Supalonely,11/15/2019,93,TRUE,0.863,0.631,7,-4.689,1,0.0534,0.305,3.04E-05,0.123,0.817,128.977,223480
362,spotify:track:62aP9fBQKYKxi7PDXwcUAS,360,ily (i love you baby) (feat. Emilee),11/26/2019,94,FALSE,0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05,176547
364,spotify:track:7ytR5pFWmSjzHJIeQkgog4,598,ROCKSTAR (feat. Roddy Ricch),4/17/2020,100,TRUE,0.746,0.69,11,-7.956,1,0.164,0.247,0,0.101,0.497,89.977,181733
366,spotify:track:7eJMfftS33KTjuF7lTsMCx,554,death bed (coffee for your head),2/8/2020,95,FALSE,0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026,173333
367,spotify:track:1rgnBhdG2JDFTbYkYRZAku,73,Dance Monkey,5/10/2019,71,FALSE,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,209755
368,spotify:track:017PF4Q3l4DBUiWoXk4OWT,298,Break My Heart,3/27/2020,89,FALSE,0.73,0.729,4,-3.434,0,0.0883,0.167,1.39E-06,0.349,0.467,113.013,221820
370,spotify:track:56Ta1O7Jxxpjnc6cWdDKUo,38,Si Me Dices Que Sí,2/18/2020,83,FALSE,0.578,0.634,8,-5.979,0,0.333,0.00473,0,0.132,0.216,183.89,211652
371,spotify:track:2DEZmgHKAvm41k4J3R2E9Y,262,Safaera,2/28/2020,89,TRUE,0.607,0.829,2,-4.074,1,0.379,0.0103,0,0.107,0.685,96.172,295177
372,spotify:track:5m3jpKkgkfoMcym1qjToFg,97,Jangueo,11/8/2019,85,FALSE,0.851,0.688,11,-4.038,1,0.0565,0.238,1.93E-05,0.105,0.732,103.982,259600
